Institue,Branch,Quota,Category,Gender,Opening,Closing
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,ST,Neutral,441,888
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,708,888
"National Institute of Technology, Warangal","Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology)",HS,EWS,Neutral,876,891
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,609,895
Indian Institute  of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,851,895
Indian Institute  of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Neutral,467,898
"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,898,898
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Female,899,899
Indian Institute  of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,299,900
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Female,901,901
Indian Institute of Technology Bhilai,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,777,902
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Female,902,902
Indian Institute of Information Technology Bhopal,"Computer Science and Engineering (Data Science) (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,903,903
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,864,904
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Neutral,904,904
"Sardar Vallabhbhai National Institute of Technology, Surat","Mathematics and Computing (4 Years, Bachelor of Technology)",OS,ST,Neutral,904,904
Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,905,905
Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,771,906
Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,872,906
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,EWS,Neutral,624,907
Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,907,907
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female,907,907
Indian Institute  of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,725,910
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,910,910
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,710,911
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,765,912
Indian Institute  of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,SC,Female,912,912
"National Institute of Technology, Uttarakhand","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,912,912
Indian Institute  of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female,913,913
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female,913,913
"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,913,913
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,830,914
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Neutral,793,915
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,642,916
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",AI,ST,Female,916,916
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female,918,918
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Neutral,618,919
Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,557,920
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,754,920
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female,920,920
Indian Institute  of Technology Patna,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Neutral,921,921
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female,921,921
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,848,922
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,922,922
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,685,925
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,795,925
Indian Institute of Information Technology (IIIT) Pune,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,925,925
Malaviya National Institute of Technology Jaipur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Neutral,497,926
Indian Institute  of Technology Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Neutral,926,926
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,926,926
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Neutral,155,927
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,598,928
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female,928,928
Indian Institute  of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Neutral,807,930
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,839,930
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Neutral,877,931
Indian Institute of Information Technology(IIIT) Kottayam,"Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,931,931
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female,784,932
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,782,935
"National Institute of Technology, Warangal","Mathematics and Computing (4 Years, Bachelor of Technology)",OS,OBC-NCL,Neutral,750,936
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,375,938
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female,426,939
"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,817,940
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,848,941
Indian Institute  of Technology Patna,"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Neutral,941,941
"National Institute of Technology, Kurukshetra","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Neutral,879,942
Indian Institute  of Technology Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Neutral,942,942
"National Institute of Technology, Silchar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,943,943
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,ST,Neutral,431,944
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,719,944
Indian Institute  of Technology Gandhinagar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Neutral,944,944
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,944,944
"National Institute of Technology, Jamshedpur","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,791,945
Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,817,945
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,831,945
"Jawaharlal Nehru University, Delhi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,947,947
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,EWS,Neutral,419,949
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female,862,950
Indian Institute  of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,845,951
Malaviya National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",OS,EWS,Neutral,937,951
"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,ST,Neutral,916,952
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,952,952
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",HS,ST,Neutral,954,954
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,955,955
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,955,955
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Neutral,785,957
National Institute of Technology  Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,957,957
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Female,957,957
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,462,958
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,885,958
Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,958,958
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",HS,ST,Female,958,958
"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,724,959
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,926,961
Indian Institute of Information Technology(IIIT) Kottayam,"Computer Science and Engineering with specialization in Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,961,961
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,688,963
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,963,963
Indian Institute  of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,896,965
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,607,966
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,966,966
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female,968,968
"National Institute of Technology, Jamshedpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,677,970
National Institute of Technology Raipur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female,972,972
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Neutral,536,973
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,828,973
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,973,973
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,425,974
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,540,974
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,677,974
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female,847,974
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female,891,975
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,731,977
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,753,977
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology)",OS,SC,Neutral,970,979
Indian Institute  of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female,979,979
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,979,979
Indian Institute  of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,901,980
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,980,980
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,917,981
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Neutral,643,982
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Neutral,660,982
"National Institute of Technology, Rourkela","Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,982,982
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,983,983
Indian Institute of Information Technology Bhopal,"Computer Science and Engineering (Cyber Security) (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,983,983
"National Institute of Technology, Warangal","Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",HS,OBC-NCL,Neutral,659,985
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Neutral,667,986
Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,EWS,Neutral,698,986
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,EWS,Neutral,724,986
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science Engineering (Artificial lntelligence and Machine Learning) (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,986,986
Indian Institute  of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,705,987
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science Engineering (Human Computer lnteraction and Gaming Technology) (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,987,987
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,628,989
Indian Institute  of Technology Gandhinagar,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Female,989,989
Indian Institute of Information Technology(IIIT) Dharwad,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,448,990
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,706,990
Indian Institute  of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN,Neutral,756,990
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female,915,990
Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,638,991
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,ST,Neutral,836,991
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,905,991
Indian Institute  of Technology Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,EWS,Neutral,991,991
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",AI,ST,Neutral,869,993
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Female,993,993
"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,EWS,Neutral,887,994
Indian Institute  of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,994,994
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Neutral,829,995
Indian Institute  of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Neutral,995,995
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female,996,996
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,660,997
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Female,997,997
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Neutral,768,998
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Female,998,998
Indian Institute  of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",AI,SC,Neutral,588,999
Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,999,999
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Female,999,999
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Neutral,759,1000
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,EWS,Female,1000,1000
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Neutral,1000,1000
"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,815,1001
"Visvesvaraya National Institute of Technology, Nagpur","Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Neutral,537,1002
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,580,1002
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,806,1002
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,1002,1002
Indian Institute  of Technology Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,ST,Neutral,1005,1005
"National Institute of Technology, Andhra Pradesh","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,895,1006
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Neutral,970,1006
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,859,1007
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science Engineering (Data Science and Analytics) (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,1008,1008
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,ST,Neutral,992,1009
Malaviya National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",HS,EWS,Neutral,1009,1009
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,571,1010
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,597,1010
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,813,1010
"National Institute of Technology, Kurukshetra","Architecture and Planning (5 Years, Bachelor of Architecture)",HS,SC,Female,1010,1010
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female,1011,1011
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,768,1012
Indian Institute  of Technology Patna,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI,SC,Neutral,773,1012
National Institute of Technology Patna,"Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,OBC-NCL (PwD),Neutral,1013,1013
"National Institute of Technology, Warangal","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,793,1014
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Neutral,557,1015
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Female,1016,1016
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,1016,1016
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Neutral,1016,1016
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,914,1018
"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female,1019,1019
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female,758,1020
Indian Institute  of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,806,1020
Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,606,1021
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Neutral,722,1021
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,879,1021
Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,889,1021
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female,1021,1021
Indian Institute  of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Neutral,908,1022
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,SC,Neutral,462,1024
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Neutral,732,1024
"National Institute of Technology, Warangal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Neutral,745,1025
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female,1025,1025
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Neutral,780,1028
Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",AI,ST,Female,1028,1028
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OPEN,Neutral,699,1030
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,1030,1030
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female,1030,1030
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Neutral,1031,1031
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Neutral,952,1034
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,SC,Female,1035,1035
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,OPEN (PwD),Neutral,1035,1035
Indian Institute of Information Technology Lucknow,"Computer Science and Business (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Female,1035,1035
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Neutral,1007,1036
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Female,1036,1036
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Neutral,662,1038
School of Planning & Architecture: Vijayawada,"Planning (4 Years, Bachelor of Planning)",AI,OPEN,Neutral,226,1039
"National Institute of Technology, Kurukshetra","ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Neutral,916,1040
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Neutral,926,1040
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,961,1040
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,1040,1040
